h,k,l,del_CN,tension_host,tension_impurity,del_tension,radius_host,radius_impurity,del_radius,PEN_host,PEN_impurity,del_PEN,IE_host,IE_impurity,del_IE,EA_host,EA_impurity,del_EA,Esegr
6,4,3,1,1.5,0.895,-0.605,2.87,3.01,0.14,2.2,1.93,-0.27,8.3369,7.5762,-0.7607,0.56214,1.30447,0.74233,-0.04
6,4,3,0,1.5,0.895,-0.605,2.87,3.01,0.14,2.2,1.93,-0.27,8.3369,7.5762,-0.7607,0.56214,1.30447,0.74233,-0.03
6,4,3,6,1.5,1.8,0.3,2.87,2.9,0.03,2.2,2.28,0.08,8.3369,8.9587,0.6218,0.56214,2.1251,1.56296,-0.32
6,4,3,5,1.5,1.8,0.3,2.87,2.9,0.03,2.2,2.28,0.08,8.3369,8.9587,0.6218,0.56214,2.1251,1.56296,0.21
6,4,3,4,1.5,1.8,0.3,2.87,2.9,0.03,2.2,2.28,0.08,8.3369,8.9587,0.6218,0.56214,2.1251,1.56296,0.13
6,4,3,3,1.5,1.8,0.3,2.87,2.9,0.03,2.2,2.28,0.08,8.3369,8.9587,0.6218,0.56214,2.1251,1.56296,0.09
6,4,3,2,1.5,1.8,0.3,2.87,2.9,0.03,2.2,2.28,0.08,8.3369,8.9587,0.6218,0.56214,2.1251,1.56296,0.01
6,4,3,1,1.5,1.8,0.3,2.87,2.9,0.03,2.2,2.28,0.08,8.3369,8.9587,0.6218,0.56214,2.1251,1.56296,0
6,4,3,0,1.5,1.8,0.3,2.87,2.9,0.03,2.2,2.28,0.08,8.3369,8.9587,0.6218,0.56214,2.1251,1.56296,0.05
6,4,3,6,2.25,1.65,-0.6,2.84,3.05,0.21,2.2,1.54,-0.66,8.967,6.8281,-2.1389,1.56436,0.07554,-1.48882,0.04
6,4,3,5,2.25,1.65,-0.6,2.84,3.05,0.21,2.2,1.54,-0.66,8.967,6.8281,-2.1389,1.56436,0.07554,-1.48882,0.19
6,4,3,4,2.25,1.65,-0.6,2.84,3.05,0.21,2.2,1.54,-0.66,8.967,6.8281,-2.1389,1.56436,0.07554,-1.48882,0.14
6,4,3,3,2.25,1.65,-0.6,2.84,3.05,0.21,2.2,1.54,-0.66,8.967,6.8281,-2.1389,1.56436,0.07554,-1.48882,0.08
6,4,3,2,2.25,1.65,-0.6,2.84,3.05,0.21,2.2,1.54,-0.66,8.967,6.8281,-2.1389,1.56436,0.07554,-1.48882,0.13
6,4,3,1,2.25,1.65,-0.6,2.84,3.05,0.21,2.2,1.54,-0.66,8.967,6.8281,-2.1389,1.56436,0.07554,-1.48882,-0.19
6,4,3,0,2.25,1.65,-0.6,2.84,3.05,0.21,2.2,1.54,-0.66,8.967,6.8281,-2.1389,1.56436,0.07554,-1.48882,-0.59
6,4,3,6,2.25,1.3,-0.95,2.84,2.67,-0.17,2.2,1.9,-0.3,8.967,7.72638,-1.24062,1.56436,1.23578,-0.32858,-1.16
6,4,3,5,2.25,1.3,-0.95,2.84,2.67,-0.17,2.2,1.9,-0.3,8.967,7.72638,-1.24062,1.56436,1.23578,-0.32858,-0.79
6,4,3,4,2.25,1.3,-0.95,2.84,2.67,-0.17,2.2,1.9,-0.3,8.967,7.72638,-1.24062,1.56436,1.23578,-0.32858,-0.43
6,4,3,3,2.25,1.3,-0.95,2.84,2.67,-0.17,2.2,1.9,-0.3,8.967,7.72638,-1.24062,1.56436,1.23578,-0.32858,-0.35
6,4,3,2,2.25,1.3,-0.95,2.84,2.67,-0.17,2.2,1.9,-0.3,8.967,7.72638,-1.24062,1.56436,1.23578,-0.32858,-0.22
6,4,3,1,2.25,1.3,-0.95,2.84,2.67,-0.17,2.2,1.9,-0.3,8.967,7.72638,-1.24062,1.56436,1.23578,-0.32858,-0.22
6,4,3,0,2.25,1.3,-0.95,2.84,2.67,-0.17,2.2,1.9,-0.3,8.967,7.72638,-1.24062,1.56436,1.23578,-0.32858,-0.19
6,4,3,6,2.25,2,-0.25,2.84,2.81,-0.03,2.2,2.28,0.08,8.967,7.4589,-1.5081,1.56436,1.14289,-0.42147,-0.36
6,4,3,5,2.25,2,-0.25,2.84,2.81,-0.03,2.2,2.28,0.08,8.967,7.4589,-1.5081,1.56436,1.14289,-0.42147,-0.24
6,4,3,4,2.25,2,-0.25,2.84,2.81,-0.03,2.2,2.28,0.08,8.967,7.4589,-1.5081,1.56436,1.14289,-0.42147,-0.09
6,4,3,3,2.25,2,-0.25,2.84,2.81,-0.03,2.2,2.28,0.08,8.967,7.4589,-1.5081,1.56436,1.14289,-0.42147,-0.03
6,4,3,2,2.25,2,-0.25,2.84,2.81,-0.03,2.2,2.28,0.08,8.967,7.4589,-1.5081,1.56436,1.14289,-0.42147,0.01
6,4,3,1,2.25,2,-0.25,2.84,2.81,-0.03,2.2,2.28,0.08,8.967,7.4589,-1.5081,1.56436,1.14289,-0.42147,0.01
6,4,3,0,2.25,2,-0.25,2.84,2.81,-0.03,2.2,2.28,0.08,8.967,7.4589,-1.5081,1.56436,1.14289,-0.42147,-0.04
6,4,3,6,2.25,1.5,-0.75,2.84,2.87,0.03,2.2,2.2,0,8.967,8.3369,-0.6301,1.56436,0.56214,-1.00222,-1.22
6,4,3,5,2.25,1.5,-0.75,2.84,2.87,0.03,2.2,2.2,0,8.967,8.3369,-0.6301,1.56436,0.56214,-1.00222,-0.95
6,4,3,4,2.25,1.5,-0.75,2.84,2.87,0.03,2.2,2.2,0,8.967,8.3369,-0.6301,1.56436,0.56214,-1.00222,-0.65
6,4,3,3,2.25,1.5,-0.75,2.84,2.87,0.03,2.2,2.2,0,8.967,8.3369,-0.6301,1.56436,0.56214,-1.00222,-0.48
6,4,3,2,2.25,1.5,-0.75,2.84,2.87,0.03,2.2,2.2,0,8.967,8.3369,-0.6301,1.56436,0.56214,-1.00222,-0.39
6,4,3,1,2.25,1.5,-0.75,2.84,2.87,0.03,2.2,2.2,0,8.967,8.3369,-0.6301,1.56436,0.56214,-1.00222,-0.2
6,4,3,0,2.25,1.5,-0.75,2.84,2.87,0.03,2.2,2.2,0,8.967,8.3369,-0.6301,1.56436,0.56214,-1.00222,-0.09
6,4,3,6,2.25,1.8,-0.45,2.84,2.9,0.06,2.2,2.28,0.08,8.967,8.9587,-0.0083,1.56436,2.1251,0.56074,-0.96
6,4,3,5,2.25,1.8,-0.45,2.84,2.9,0.06,2.2,2.28,0.08,8.967,8.9587,-0.0083,1.56436,2.1251,0.56074,-0.8
6,4,3,4,2.25,1.8,-0.45,2.84,2.9,0.06,2.2,2.28,0.08,8.967,8.9587,-0.0083,1.56436,2.1251,0.56074,-0.66
6,4,3,3,2.25,1.8,-0.45,2.84,2.9,0.06,2.2,2.28,0.08,8.967,8.9587,-0.0083,1.56436,2.1251,0.56074,-0.52
6,4,3,2,2.25,1.8,-0.45,2.84,2.9,0.06,2.2,2.28,0.08,8.967,8.9587,-0.0083,1.56436,2.1251,0.56074,-0.46
6,4,3,1,2.25,1.8,-0.45,2.84,2.9,0.06,2.2,2.28,0.08,8.967,8.9587,-0.0083,1.56436,2.1251,0.56074,-0.24
6,4,3,0,2.25,1.8,-0.45,2.84,2.9,0.06,2.2,2.28,0.08,8.967,8.9587,-0.0083,1.56436,2.1251,0.56074,-0.04
