,BO,,,GA,,,BO_wo_rlx,,,BO_wo_clst,,,BO_wo_clst+wo_rlx,,,BO_wo_clst+wo_cmp,,,BO_wo_cl+wo_rlx+wo_cmp,,,BO_wo_comparison,,
no,avg,min,max,avg,min,max,avg,min,max,avg,min,max,avg,min,max,avg,min,max,avg,min,max,avg,min,max
75,11.4817,11.3738,11.7667,11.41092,11.3742,11.4377,18.7195,18.7195,18.7195,11.44916,11.4004,11.5086,18.77194,18.4087,18.8968,11.52898,11.3997,11.8795,18.82218,18.6599,18.8968,11.56214,11.4151,11.7857
76,11.4817,11.3738,11.7667,11.41092,11.3742,11.4377,18.7195,18.7195,18.7195,11.44916,11.4004,11.5086,18.77194,18.4087,18.8968,11.52898,11.3997,11.8795,18.82218,18.6599,18.8968,11.56214,11.4151,11.7857
77,11.4817,11.3738,11.7667,11.41092,11.3742,11.4377,18.7195,18.7195,18.7195,11.44916,11.4004,11.5086,18.77194,18.4087,18.8968,11.52898,11.3997,11.8795,18.82218,18.6599,18.8968,11.56214,11.4151,11.7857
78,11.48166,11.3738,11.7667,11.41092,11.3742,11.4377,18.7195,18.7195,18.7195,11.44916,11.4004,11.5086,18.77194,18.4087,18.8968,11.52898,11.3997,11.8795,18.82218,18.6599,18.8968,11.56214,11.4151,11.7857
79,11.48166,11.3738,11.7667,11.41092,11.3742,11.4377,18.7195,18.7195,18.7195,11.44916,11.4004,11.5086,18.77194,18.4087,18.8968,11.52894,11.3997,11.8795,18.82218,18.6599,18.8968,11.56214,11.4151,11.7857
80,11.48166,11.3738,11.7667,11.41092,11.3742,11.4377,18.7195,18.7195,18.7195,11.44916,11.4004,11.5086,18.77194,18.4087,18.8968,11.52894,11.3997,11.8795,18.82218,18.6599,18.8968,11.56214,11.4151,11.7857
81,11.48166,11.3738,11.7667,11.41092,11.3742,11.4377,18.7195,18.7195,18.7195,11.44916,11.4004,11.5086,18.77194,18.4087,18.8968,11.52894,11.3997,11.8795,18.82218,18.6599,18.8968,11.56214,11.4151,11.7857
82,11.48162,11.3738,11.7667,11.41092,11.3742,11.4377,18.7195,18.7195,18.7195,11.44916,11.4004,11.5086,18.74062,18.2521,18.8968,11.52894,11.3997,11.8795,18.82218,18.6599,18.8968,11.56214,11.4151,11.7857
83,11.48162,11.3738,11.7667,11.41092,11.3742,11.4377,18.7195,18.7195,18.7195,11.44916,11.4004,11.5086,18.74062,18.2521,18.8968,11.52894,11.3997,11.8795,18.82218,18.6599,18.8968,11.56214,11.4151,11.7857
84,11.48162,11.3738,11.7667,11.41092,11.3742,11.4377,18.7195,18.7195,18.7195,11.44916,11.4004,11.5086,18.70182,18.0581,18.8968,11.52894,11.3997,11.8795,18.82218,18.6599,18.8968,11.56214,11.4151,11.7857
