,h,k,l,del_CN,del_tension,del_radius,PEN_host,PEN_impurity,IE_host,IE_impurity,EA_host,EA_impurity,Esegr
256,6,4,3,0,-0.95,-0.17,2.2,1.9,8.967,7.726380000000001,1.56436,1.2357799999999999,-0.19
102,3,2,2,2,-0.05,0.01,2.28,1.63,7.4589,6.7462,1.14289,0.52766,0.23
135,3,2,2,0,-0.2,0.09,2.28,2.28,7.4589,8.9587,1.14289,2.1251,0.06
119,6,4,3,1,-0.7,-0.14,2.28,1.9,7.4589,7.726380000000001,1.14289,1.2357799999999999,-0.14
82,6,4,3,4,-0.35,0.24,2.28,1.54,7.4589,6.8281,1.14289,0.07554,0.24
137,6,4,3,6,0.7,0.06,2.28,1.9,7.4589,7.8335,1.14289,0.060396000000000005,1.18
294,3,2,2,3,-0.45,0.06,2.2,2.28,8.967,8.9587,1.56436,2.1251,-0.56
185,6,4,3,5,0.5,-0.06,2.2,2.28,8.3369,7.4589,0.56214,1.14289,0.36
97,6,4,3,4,-0.05,0.01,2.28,1.63,7.4589,6.7462,1.14289,0.52766,0.4
30,1,1,1,0,0.7,0.14,1.9,2.28,7.726380000000001,7.4589,1.2357799999999999,1.14289,0.12
173,1,1,1,3,0.45,-0.05,2.2,1.63,8.3369,6.7462,0.56214,0.52766,0.64
91,6,4,3,0,-0.35,0.24,2.28,1.54,7.4589,6.8281,1.14289,0.07554,-0.32
298,6,4,3,2,-0.45,0.06,2.2,2.28,8.967,8.9587,1.56436,2.1251,-0.46
220,3,2,2,3,0.3,0.03,2.2,2.28,8.3369,8.9587,0.56214,2.1251,0.07
69,3,2,2,3,1.1,0.28,1.9,2.36,7.726380000000001,7.864,1.2357799999999999,0.81626,0.71
229,1,1,0,5,-0.6,0.21,2.2,1.54,8.967,6.8281,1.56436,0.07554,-0.35
240,3,2,2,0,-0.6,0.21,2.2,1.54,8.967,6.8281,1.56436,0.07554,-0.49
285,3,2,2,0,-0.75,0.03,2.2,2.2,8.967,8.3369,1.56436,0.56214,-0.07
