h,k,l,del_CN,tension_host,tension_impurity,del_tension,radius_host,radius_impurity,del_radius,PEN_host,PEN_impurity,del_PEN,IE_host,IE_impurity,del_IE,EA_host,EA_impurity,del_EA,Esegr
3,2,2,3,1.5,1.3,-0.2,2.87,2.67,-0.2,2.2,1.9,-0.3,8.3369,7.72638,-0.61052,0.56214,1.23578,0.67364,0.09
3,2,2,3,1.5,1.3,-0.2,2.87,2.67,-0.2,2.2,1.9,-0.3,8.3369,7.72638,-0.61052,0.56214,1.23578,0.67364,0.13
3,2,2,2,1.5,1.3,-0.2,2.87,2.67,-0.2,2.2,1.9,-0.3,8.3369,7.72638,-0.61052,0.56214,1.23578,0.67364,0.22
3,2,2,0,1.5,1.3,-0.2,2.87,2.67,-0.2,2.2,1.9,-0.3,8.3369,7.72638,-0.61052,0.56214,1.23578,0.67364,0.05
3,2,2,5,1.5,1.95,0.45,2.87,2.82,-0.05,2.2,1.63,-0.57,8.3369,6.7462,-1.5907,0.56214,0.52766,-0.03448,0.72
1,1,0,5,1.5,1.95,0.45,2.87,2.82,-0.05,2.2,1.63,-0.57,8.3369,6.7462,-1.5907,0.56214,0.52766,-0.03448,0.63
3,2,2,3,1.5,1.95,0.45,2.87,2.82,-0.05,2.2,1.63,-0.57,8.3369,6.7462,-1.5907,0.56214,0.52766,-0.03448,0.48
3,2,2,3,1.5,1.95,0.45,2.87,2.82,-0.05,2.2,1.63,-0.57,8.3369,6.7462,-1.5907,0.56214,0.52766,-0.03448,0.53
3,2,2,2,1.5,1.95,0.45,2.87,2.82,-0.05,2.2,1.63,-0.57,8.3369,6.7462,-1.5907,0.56214,0.52766,-0.03448,0.32
3,2,2,0,1.5,1.95,0.45,2.87,2.82,-0.05,2.2,1.63,-0.57,8.3369,6.7462,-1.5907,0.56214,0.52766,-0.03448,-0.03
3,2,2,5,1.5,2,0.5,2.87,2.81,-0.06,2.2,2.28,0.08,8.3369,7.4589,-0.878,0.56214,1.14289,0.58075,0.38
1,1,0,5,1.5,2,0.5,2.87,2.81,-0.06,2.2,2.28,0.08,8.3369,7.4589,-0.878,0.56214,1.14289,0.58075,0.39
3,2,2,3,1.5,2,0.5,2.87,2.81,-0.06,2.2,2.28,0.08,8.3369,7.4589,-0.878,0.56214,1.14289,0.58075,0.24
3,2,2,3,1.5,2,0.5,2.87,2.81,-0.06,2.2,2.28,0.08,8.3369,7.4589,-0.878,0.56214,1.14289,0.58075,0.21
3,2,2,2,1.5,2,0.5,2.87,2.81,-0.06,2.2,2.28,0.08,8.3369,7.4589,-0.878,0.56214,1.14289,0.58075,0.14
3,2,2,0,1.5,2,0.5,2.87,2.81,-0.06,2.2,2.28,0.08,8.3369,7.4589,-0.878,0.56214,1.14289,0.58075,-0.03
3,2,2,5,1.5,0.895,-0.605,2.87,3.01,0.14,2.2,1.93,-0.27,8.3369,7.5762,-0.7607,0.56214,1.30447,0.74233,-0.41
1,1,0,5,1.5,0.895,-0.605,2.87,3.01,0.14,2.2,1.93,-0.27,8.3369,7.5762,-0.7607,0.56214,1.30447,0.74233,-0.48
3,2,2,3,1.5,0.895,-0.605,2.87,3.01,0.14,2.2,1.93,-0.27,8.3369,7.5762,-0.7607,0.56214,1.30447,0.74233,-0.3
3,2,2,3,1.5,0.895,-0.605,2.87,3.01,0.14,2.2,1.93,-0.27,8.3369,7.5762,-0.7607,0.56214,1.30447,0.74233,-0.26
